time,vehicle_id,x,y,speed,angle,power
53,LKW0,1033.74,1072.86,13.89,2.23,8.13
53,LKW1,1796.91,2805.38,13.89,-38.46,9.26
53,LKW10,1915.11,458.21,13.89,-48.62,10.64
53,LKW11,1088.3,1967.18,13.82,-75.61,8.47
53,LKW12,1068.41,2018.97,13.67,-75.61,11.59
53,LKW13,3108.13,2086.14,13.89,-205.28,9.25
53,LKW14,1234.75,844.38,13.89,-39.52,7.21
53,LKW15,1204.64,873.37,13.89,-39.52,11.69
53,LKW2,1883.96,2387.76,13.89,79.3,8.84
53,LKW3,1552.41,1124.51,0.0,-36.57,8.7
53,LKW4,1148.08,1713.31,13.89,-264.21,8.15
53,LKW5,783.91,1063.15,13.89,2.23,11.27
53,LKW6,1149.63,1738.23,13.89,-266.74,11.45
53,LKW7,2295.69,2176.19,3.9,17.8,11.67
53,LKW8,2381.84,917.59,3.9,-18.33,9.06
53,LKW9,2823.42,813.61,13.89,-194.77,10.78
53,PKW0,1179.44,1520.91,13.89,-66.77,4.36
53,PKW1,1859.8,2294.01,13.89,-95.2,4.77
53,PKW10,1541.84,953.07,13.89,-244.79,3.5
53,PKW100,2076.36,2365.52,13.89,-215.81,3.82
53,PKW101,2478.0,608.75,11.93,-209.07,5.39
53,PKW102,2894.35,2259.59,0.0,-249.79,6.62
53,PKW103,2813.73,2327.6,13.89,-55.19,4.21
53,PKW104,2417.6,1938.34,0.0,28.31,4.14
53,PKW105,2370.11,2671.83,13.89,-3.05,6.72
53,PKW106,2816.35,2329.44,13.89,-55.18,6.41
53,PKW107,2668.45,865.34,13.89,-196.53,5.09
53,PKW108,2479.38,1743.74,0.0,-179.74,4.5
53,PKW109,2667.54,862.28,13.89,-196.54,6.87
53,PKW11,2799.41,2585.7,13.89,-88.68,6.52
53,PKW110,1332.43,1323.99,13.89,-218.24,6.49
53,PKW111,1455.7,666.27,5.2,-39.52,6.84
53,PKW112,1448.24,676.56,1.79,-39.52,4.55
53,PKW113,2688.58,817.1,13.89,-13.81,5.94
53,PKW114,1101.45,1849.69,13.0,-93.51,3.93
53,PKW115,2890.48,2319.38,0.0,-138.43,5.62
53,PKW116,2061.37,1837.18,12.35,-220.96,4.52
53,PKW117,2897.86,2321.71,0.0,-137.06,5.92
53,PKW118,726.17,1064.1,13.89,2.23,5.53
53,PKW119,2540.96,1358.6,0.0,-85.29,6.04
53,PKW12,2463.38,601.33,12.74,-122.08,5.8
53,PKW120,2899.92,2253.72,0.0,-248.4,5.05
53,PKW121,2796.18,2863.95,13.89,-88.68,5.83
53,PKW122,2693.85,855.41,13.89,-205.39,4.4
53,PKW123,2763.93,2070.9,0.0,-113.15,6.59
53,PKW124,2799.05,2878.18,13.89,-88.68,5.76
53,PKW125,1883.11,2033.93,13.89,-54.52,6.74
53,PKW126,712.41,1060.36,13.89,2.23,6.68
53,PKW127,2792.67,2877.5,13.89,-88.68,5.8
53,PKW128,2775.93,1985.64,0.0,78.16,4.77
53,PKW129,2193.39,1008.02,13.89,-197.81,6.27
53,PKW13,969.38,1073.56,13.89,2.23,4.81
53,PKW130,698.41,1063.02,13.89,2.23,6.82
53,PKW131,2370.3,2675.02,13.89,-3.04,5.52
53,PKW132,691.04,1059.53,13.89,2.23,5.61
53,PKW133,2471.37,1964.65,13.89,22.97,4.29
53,PKW134,1962.07,2667.98,13.89,-108.67,5.89
53,PKW135,2357.52,471.15,10.4,-230.4,5.17
53,PKW136,3822.72,1972.44,13.89,-184.0,3.79
53,PKW137,1648.63,1878.75,6.0,-17.79,4.64
53,PKW138,2766.93,2077.92,0.0,-113.15,3.67
53,PKW139,1564.92,2985.58,13.89,-38.46,6.22
