time,vehicle_id,x,y,speed,angle,power
678,LKW109,1860.38,2771.32,13.89,-218.46,7.75
678,LKW116,1137.23,1837.09,4.69,-260.58,8.37
678,LKW122,2565.78,1213.81,0.0,-264.05,11.26
678,LKW129,2678.3,2468.42,13.88,-38.32,11.82
678,LKW130,2395.88,2678.79,13.89,-189.2,9.27
678,LKW138,2569.76,847.86,0.0,-23.13,10.97
678,LKW139,1011.33,1084.8,13.89,-177.77,9.27
678,LKW140,1090.17,2024.3,13.89,-255.61,9.08
678,LKW145,2675.96,940.38,0.0,58.63,11.65
678,LKW148,1542.42,1168.73,6.5,-210.96,8.05
678,LKW152,2623.95,519.93,13.0,-21.98,11.07
678,LKW153,2760.93,2063.89,0.0,-113.15,7.57
678,LKW154,1557.34,1167.24,4.92,-220.53,7.77
678,LKW155,2482.55,637.99,0.0,-119.19,10.3
678,LKW156,1866.55,2205.32,13.89,-269.17,7.95
678,LKW157,1864.11,2306.08,13.89,-95.19,9.57
678,LKW158,2610.14,823.62,0.0,57.28,11.27
678,LKW159,2811.07,2180.75,13.89,-111.97,9.26
678,LKW160,1457.37,1095.75,0.0,2.23,8.93
678,LKW161,2140.76,434.89,13.89,4.59,8.83
678,LKW162,1864.28,2157.4,13.88,-268.35,11.52
678,LKW164,2767.77,2079.88,0.0,-113.15,11.08
678,LKW165,1834.48,1802.92,2.6,-14.45,9.3
678,LKW166,2892.93,2263.91,6.5,-251.08,7.89
678,LKW167,2947.46,2030.51,13.89,-184.01,7.15
678,LKW168,2648.28,868.0,0.0,-196.54,9.15
678,LKW169,2577.95,847.84,0.0,-23.12,9.23
678,LKW170,1861.53,1024.53,13.89,-3.42,8.05
678,LKW171,1366.85,1085.82,13.89,2.23,11.97
678,LKW172,1355.79,1271.0,13.89,-38.2,10.36
678,LKW173,1992.09,1013.52,0.0,-3.42,11.66
678,LKW174,1995.22,2689.83,13.89,-0.39,9.31
678,LKW175,2671.87,860.99,0.0,-196.54,11.82
678,LKW176,2763.17,2396.02,0.0,-42.31,8.6
678,LKW177,1679.51,1871.16,13.89,-16.98,10.3
678,LKW178,2911.17,2230.11,2.6,-242.6,11.72
678,LKW179,1492.51,1171.43,3.62,-34.76,10.82
678,LKW180,2756.39,2410.85,0.0,-42.31,10.59
678,LKW181,2696.26,847.22,0.0,-195.12,7.9
678,LKW182,2942.89,2179.09,2.6,-240.57,7.53
678,LKW183,2128.71,1004.09,13.89,-12.24,9.13
678,LKW184,2743.74,2422.37,0.0,-42.31,9.42
678,LKW185,1566.57,2984.27,13.89,-38.46,8.1
678,LKW186,2077.21,1044.56,0.0,-190.32,11.7
678,LKW187,2101.91,1036.16,11.41,-193.46,9.7
678,LKW188,3999.36,1960.07,13.85,-184.0,11.28
678,LKW189,2258.37,2941.42,13.89,-56.79,10.07
678,LKW190,1071.37,2007.41,13.89,-75.61,8.83
678,LKW191,1249.83,1423.82,1.37,-234.19,10.55
678,LKW192,3064.36,746.78,13.89,-194.77,10.87
678,LKW193,1292.16,1366.92,13.89,-232.58,10.12
678,PKW1186,1611.45,1886.13,13.89,-10.24,5.72
678,PKW1258,2074.93,432.54,13.82,14.27,5.44
678,PKW1290,1547.7,3019.7,13.89,-218.46,4.41
678,PKW1375,2646.96,888.55,13.87,59.24,6.34
678,PKW1385,1564.45,3006.39,13.89,-218.46,3.94
678,PKW1396,1562.53,3003.83,13.89,-218.46,4.06
678,PKW1433,1473.21,1215.85,13.89,-210.47,4.38
678,PKW1484,1581.19,2993.09,13.89,-218.46,5.66
678,PKW1691,1579.28,2990.52,13.89,-218.46,3.57
678,PKW1764,1938.95,2587.76,0.0,69.7,6.94
678,PKW1766,1506.79,1902.14,13.89,-4.83,5.97
678,PKW1805,1501.62,1171.05,0.0,-160.02,4.54
678,PKW1810,1874.89,2339.62,13.89,81.44,6.12
678,PKW1813,2519.55,869.22,0.0,-19.27,4.37
678,PKW1823,1406.28,3132.03,13.89,-218.46,5.9
678,PKW1889,1760.96,1110.69,2.6,-122.69,4.22
678,PKW1914,1388.57,3146.1,13.89,-218.46,5.89
678,PKW1916,2764.77,2072.87,0.0,-113.15,5.86
678,PKW1918,1569.36,1893.74,13.89,-10.24,5.67
678,PKW2026,2828.16,2307.13,4.64,-54.81,5.45
678,PKW2037,1265.53,1396.6,5.2,-233.62,4.03
678,PKW2038,2699.24,1789.35,13.89,-100.4,3.74
678,PKW2039,2877.72,2290.44,5.85,0.95,5.79
678,PKW2065,2653.82,904.06,9.37,58.63,4.26
678,PKW2089,1597.94,2979.79,13.89,-218.46,6.88
678,PKW2101,1079.04,2054.79,13.89,-255.61,5.15
678,PKW2103,1085.15,2030.96,13.89,-255.61,6.75
678,PKW2109,1096.01,2001.54,13.89,-255.61,3.91
678,PKW2118,2599.21,843.09,0.0,-11.07,3.7
