time,hex_id,num_vehicles,avg_speed,traffic_color
0,-1_3,1,13.89,green
1,-1_3,2,12.705,green
1,1_4,1,13.89,green
1,1_7,1,8.33,green
1,2_6,1,13.89,green
1,5_1,1,13.89,green
2,-1_3,3,11.476666666666667,green
2,1_4,1,13.89,green
2,1_6,1,13.89,green
2,1_7,1,8.33,green
2,2_2,1,13.89,green
2,2_6,1,13.89,green
2,2_9,1,13.89,green
2,4_6,1,8.94,green
2,5_1,1,13.89,green
2,7_5,1,13.89,green
3,-1_3,4,10.125,green
3,1_4,1,13.89,green
3,1_6,1,13.89,green
3,1_7,1,8.33,green
3,2_2,2,12.705,green
3,2_6,1,13.89,green
3,2_9,1,13.89,green
3,4_4,1,13.89,green
3,4_6,1,8.89,green
3,5_1,1,13.89,green
3,6_1,1,13.89,green
3,6_2,1,13.89,green
3,7_5,1,13.89,green
4,-1_3,5,11.308000000000002,green
4,-1_9,2,13.89,green
4,0_6,1,1.51,green
4,1_3,1,13.89,green
4,1_4,1,13.89,green
4,1_6,1,13.89,green
4,1_7,1,8.33,green
4,1_8,1,13.89,green
4,2_2,2,12.705,green
4,2_6,1,13.89,green
4,2_9,1,13.89,green
4,4_4,1,13.89,green
4,4_6,1,7.21,green
4,5_1,1,13.89,green
4,6_1,1,13.89,green
4,6_2,3,13.89,green
4,7_5,1,13.89,green
5,-1_3,6,10.676666666666668,yellow
5,-1_9,2,13.89,green
5,0_6,1,1.51,green
5,1_3,1,13.89,green
5,1_4,1,13.89,green
5,1_6,1,13.89,green
5,1_7,1,8.33,green
5,1_8,3,13.1,green
5,2_2,3,13.363333333333335,green
5,2_6,1,13.89,green
5,2_9,1,13.89,green
5,4_4,1,13.89,green
5,4_6,1,7.21,green
5,5_1,1,13.89,green
5,5_2,1,13.89,green
5,6_1,1,13.89,green
5,6_2,3,13.89,green
5,7_5,1,13.89,green
